,effective_alpha_001,effective_alpha_002,effective_alpha_003,effective_alpha_004,effective_alpha_005,effective_alpha_006,effective_alpha_007,effective_alpha_008,effective_alpha_009,effective_alpha_010,effective_alpha_011,effective_alpha_012,effective_alpha_013,effective_alpha_014,effective_alpha_015,effective_alpha_016,effective_alpha_017,effective_alpha_018,effective_alpha_019,effective_alpha_020,effective_alpha_021,effective_alpha_022,effective_alpha_023,effective_alpha_024,effective_alpha_025,effective_alpha_026,effective_alpha_027,effective_alpha_028,effective_alpha_029,effective_alpha_030,effective_alpha_031,effective_alpha_032
effective_alpha_011,0.301,0.052,0.058,0.457,0.701,0.685,0.191,0.407,0.219,0.401,1.000,0.247,0.423,0.451,0.451,0.766,0.313,0.428,0.639,0.141,0.817,0.089,0.088,0.090,0.277,0.155,0.016,0.186,0.669,0.125,-0.086,0.007
effective_alpha_012,0.040,0.033,0.076,0.227,0.248,0.243,0.202,0.478,0.237,0.558,0.247,1.000,0.558,0.527,0.527,0.175,0.257,0.088,0.264,0.105,0.172,0.012,0.042,0.042,0.395,0.016,0.197,0.285,0.164,0.210,0.022,0.035
effective_alpha_013,0.091,0.046,0.139,0.364,0.386,0.393,0.371,0.852,0.443,0.969,0.423,0.558,1.000,0.910,0.910,0.254,0.426,0.160,0.389,0.194,0.321,0.063,0.070,0.071,0.619,-0.122,0.161,0.374,-0.037,0.360,0.485,-0.044
effective_alpha_014,0.070,0.024,0.122,0.341,0.373,0.379,0.314,0.848,0.442,0.864,0.451,0.527,0.910,1.000,1.000,0.263,0.356,0.155,0.370,0.164,0.380,0.057,0.062,0.063,0.545,-0.036,0.139,0.351,0.043,0.326,0.432,-0.024
effective_alpha_015,0.070,0.024,0.122,0.341,0.373,0.379,0.314,0.848,0.442,0.864,0.451,0.527,0.910,1.000,1.000,0.263,0.356,0.155,0.370,0.164,0.380,0.057,0.062,0.063,0.545,-0.036,0.139,0.351,0.043,0.326,0.432,-0.024
effective_alpha_016,0.283,-0.002,0.029,0.490,0.733,0.732,0.195,0.241,0.129,0.255,0.766,0.175,0.254,0.263,0.263,1.000,0.324,0.561,0.718,0.146,0.589,0.114,0.114,0.117,0.190,0.097,0.003,0.114,0.712,0.056,-0.124,-0.003
effective_alpha_017,0.063,0.050,0.045,0.277,0.345,0.347,0.411,0.356,0.197,0.450,0.313,0.257,0.426,0.356,0.356,0.324,1.000,0.256,0.501,0.451,0.223,0.044,0.013,0.013,0.276,-0.120,0.158,0.159,0.147,0.110,0.158,0.019
effective_alpha_018,-0.006,-0.045,0.182,0.720,0.790,0.766,0.401,0.158,0.084,0.164,0.428,0.088,0.160,0.155,0.155,0.561,0.256,1.000,0.517,0.103,0.313,0.439,0.375,0.381,0.115,0.094,-0.009,0.089,0.454,0.026,0.032,0.012
effective_alpha_019,0.102,-0.003,0.038,0.479,0.662,0.659,0.350,0.351,0.123,0.398,0.639,0.264,0.389,0.370,0.370,0.718,0.501,0.517,1.000,0.222,0.509,0.114,0.110,0.108,0.278,0.087,0.078,0.175,0.554,0.095,-0.022,0.029
effective_alpha_020,0.034,0.026,0.011,0.108,0.147,0.141,0.167,0.147,0.097,0.205,0.141,0.105,0.194,0.164,0.164,0.146,0.451,0.103,0.222,1.000,0.098,0.013,0.002,0.002,0.095,-0.052,0.133,0.058,0.070,0.057,0.063,0.060
effective_alpha_021,0.090,-0.048,0.034,0.382,0.560,0.549,0.143,0.324,0.157,0.284,0.817,0.172,0.321,0.380,0.380,0.589,0.223,0.313,0.509,0.098,1.000,0.050,0.050,0.052,0.205,0.195,-0.006,0.171,0.617,0.081,-0.186,0.009
effective_alpha_022,0.005,-0.009,0.223,0.435,0.352,0.341,0.295,0.057,0.034,0.063,0.089,0.012,0.063,0.057,0.057,0.114,0.044,0.439,0.114,0.013,0.050,1.000,0.852,0.875,0.012,0.073,-0.006,0.039,0.045,0.006,0.047,0.108
effective_alpha_023,0.009,-0.012,0.185,0.366,0.305,0.295,0.170,0.060,0.021,0.072,0.088,0.042,0.070,0.062,0.062,0.114,0.013,0.375,0.110,0.002,0.050,0.852,1.000,0.969,0.044,0.048,0.013,0.043,0.061,0.014,0.025,0.028
effective_alpha_024,0.008,-0.012,0.181,0.370,0.310,0.299,0.162,0.060,0.022,0.073,0.090,0.042,0.071,0.063,0.063,0.117,0.013,0.381,0.108,0.002,0.052,0.875,0.969,1.000,0.046,0.045,0.010,0.042,0.063,0.018,0.026,0.022
effective_alpha_025,0.070,0.040,0.077,0.225,0.254,0.259,0.222,0.587,0.270,0.630,0.277,0.395,0.619,0.545,0.545,0.190,0.276,0.115,0.278,0.095,0.205,0.012,0.044,0.046,1.000,-0.104,-0.232,0.280,-0.008,0.237,0.295,-0.308
effective_alpha_026,-0.052,-0.126,0.004,0.069,0.120,0.105,-0.060,-0.063,-0.051,-0.162,0.155,0.016,-0.122,-0.036,-0.036,0.097,-0.120,0.094,0.087,-0.052,0.195,0.073,0.048,0.045,-0.104,1.000,-0.060,0.000,0.307,-0.112,-0.291,0.098
effective_alpha_027,-0.014,0.003,0.025,0.072,0.055,0.050,0.107,0.044,0.032,0.170,0.016,0.197,0.161,0.139,0.139,0.003,0.158,-0.009,0.078,0.133,-0.006,-0.006,0.013,0.010,-0.232,-0.060,1.000,0.001,0.016,0.070,0.010,0.688
effective_alpha_028,0.012,-0.014,0.073,0.179,0.186,0.187,0.158,0.352,0.171,0.370,0.186,0.285,0.374,0.351,0.351,0.114,0.159,0.089,0.175,0.058,0.171,0.039,0.043,0.042,0.280,0.000,0.001,1.000,0.024,0.125,0.137,-0.070
effective_alpha_029,0.090,-0.020,-0.035,0.343,0.591,0.561,0.023,-0.003,-0.020,-0.054,0.669,0.164,-0.037,0.043,0.043,0.712,0.147,0.454,0.554,0.070,0.617,0.045,0.061,0.063,-0.008,0.307,0.016,0.024,1.000,-0.077,-0.567,0.060
effective_alpha_030,0.060,0.058,0.057,0.116,0.110,0.118,0.136,0.314,0.189,0.365,0.125,0.210,0.360,0.326,0.326,0.056,0.110,0.026,0.095,0.057,0.081,0.006,0.014,0.018,0.237,-0.112,0.070,0.125,-0.077,1.000,0.223,-0.056
effective_alpha_031,0.063,0.074,0.093,0.058,-0.025,-0.003,0.192,0.440,0.264,0.482,-0.086,0.022,0.485,0.432,0.432,-0.124,0.158,0.032,-0.022,0.063,-0.186,0.047,0.025,0.026,0.295,-0.291,0.010,0.137,-0.567,0.223,1.000,-0.082
effective_alpha_032,-0.016,-0.007,0.027,0.050,0.037,0.030,0.049,-0.086,-0.032,-0.053,0.007,0.035,-0.044,-0.024,-0.024,-0.003,0.019,0.012,0.029,0.060,0.009,0.108,0.028,0.022,-0.308,0.098,0.688,-0.070,0.060,-0.056,-0.082,1.000
