,001_turnover,002_morning_diff,003_ov_momentum,004_asym_ov,005_tug_of_war,006_rv_momentum,007,008,009,010,011,012,013,014,015,016,017,018,019
2022-09-20,,,,,,,,,,,,,,,,,,,
2022-09-21,,,,,,,,,,,,,,,,,,,
2022-09-22,,,,,,,,,,,,,,,,,,,
2022-09-23,,,,,,,,,,,,,,,,,,,
2022-09-26,,,,,,,,,,,,,,,,,,,
2022-09-27,,,,,,,,,,,,,,,,,,,
2022-09-28,,,,,,,,,,,,,,,,,,,
2022-09-29,,,,,,,,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,,,,
2022-10-10,,,,,,,,,,,,,,,,,,,
2022-10-11,,,,,,,,,,,,,,,,,,,
2022-10-12,,,,,,,,,,,,,,,,,,,
2022-10-13,,,,,,,,,,,,,,,,,,,
2022-10-14,,,,,,,,,,,,,,,,,,,
2022-10-17,,,,,,,,,,,,,,,,,,,
2022-10-18,,,,,,,,,,,,,,,,,,,
2022-10-19,,,,,,,,,,,,,,,,,,,
2022-10-20,,,,,,,,,,,,,,,,,,,
2022-10-21,,,,,,,,,,,,,,,,,,,
2022-10-24,,,,,,,,,,,,,,,,,,,
2022-10-25,,,,,,,,,,,,,,,,,,,
2022-10-26,,,,,,,,,,,,,,,,,,,
2022-10-27,,,,,,,,,,,,,,,,,,,
2022-10-28,,,,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,,,,
2022-11-01,,,,,,,,,,,,,,,,,,,
2022-11-02,,,,,,,,,,,,,,,,,,,
2022-11-03,,,,,,,,,,,,,,,,,,,
2022-11-04,,,,,,,,,,,,,,,,,,,
2022-11-07,,,,,,,,,,,,,,,,,,,
2022-11-08,,,,,,,,,,,,,,,,,,,
2022-11-09,,,,,,,,,,,,,,,,,,,
2022-11-10,,,,,,,,,,,,,,,,,,,
2022-11-11,,,,,,,,,,,,,,,,,,,
2022-11-14,,,,,,,,,,,,,,,,,,,
2022-11-15,,,,,,,,,,,,,,,,,,,
2022-11-16,,,,,,,,,,,,,,,,,,,
2022-11-17,,,,,,,,,,,,,,,,,,,
2022-11-18,,,,,,,,,,,,,,,,,,,
2022-11-21,,,,,,,,,,,,,,,,,,,
2022-11-22,,,,,,,,,,,,,,,,,,,
2022-11-23,,,,,,,,,,,,,,,,,,,
2022-11-24,,,,,,,,,,,,,,,,,,,
2022-11-25,,,,,,,,,,,,,,,,,,,
2022-11-28,,,,,,,,,,,,,,,,,,,
2022-11-29,,,,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,,,,
2022-12-01,,,,,,,,,,,,,,,,,,,
2022-12-02,,,,,,,,,,,,,,,,,,,
2022-12-05,,,,,,,,,,,,,,,,,,,
2022-12-06,,,,,,,,,,,,,,,,,,,
2022-12-07,,,,,,,,,,,,,,,,,,,
2022-12-08,,,,,,,,,,,,,,,,,,,
2022-12-09,,,,,,,,,,,,,,,,,,,
2022-12-12,,,,,,,,,,,,,,,,,,,
2022-12-13,,,,,,,,,,,,,,,,,,,
2022-12-14,,,,,,,,,,,,,,,,,,,
2022-12-15,,,,,,,,,,,,,,,,,,,
2022-12-16,,,,,,,,,,,,,,,,,,,
2022-12-19,,,,,,,,,,,,,,,,,,,
2022-12-20,,,,,,,,,,,,,,,,,,,
2022-12-21,,,,,,,,,,,,,,,,,,,
2022-12-22,,,,,,,,,,,,,,,,,,,
2022-12-23,,,,,,,,,,,,,,,,,,,
2022-12-26,,,,,,,,,,,,,,,,,,,
2022-12-27,,,,,,,,,,,,,,,,,,,
2022-12-28,,,,,,,,,,,,,,,,,,,
2022-12-29,,,,,,,,,,,,,,,,,,,
2022-12-30,,,,,,,,,,,,,,,,,,,
2023-01-03,,,,,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,,,,,
2023-01-11,,,,,,,,,,,,,,,,,,,
2023-01-12,,,,,,,,,,,,,,,,,,,
2023-01-13,,,,,,,,,,,,,,,,,,,
2023-01-16,,,,,,,,,,,,,,,,,,,
2023-01-17,,,,,,,,,,,,,,,,,,,
2023-01-18,,,,,,,,,,,,,,,,,,,
2023-01-19,,,,,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,,,,,
2023-01-30,,,,,,,,,,,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,,,,
2023-02-01,,,,,,,,,,,,,,,,,,,
2023-02-02,,,,,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,,,,,,,
2023-02-07,,,,,,,,,,,,,,,,,,,
2023-02-08,,,,,,,,,,,,,,,,,,,
2023-02-09,,,,,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,,,,,
2023-02-13,,,,,,,,,,,,,,,,,,,
2023-02-14,,,,,,,,,,,,,,,,,,,
2023-02-15,,,,,,,,,,,,,,,,,,,
2023-02-16,,,,,,,,,,,,,,,,,,,
2023-02-17,,,,,,,,,,,,,,,,,,,
2023-02-20,,,,,,,,,,,,,,,,,,,
2023-02-21,,,,,,,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,,,,,,,,,
2023-02-23,,,,,,,,,,,,,,,,,,,
2023-02-24,,,,,,,,,,,,,,,,,,,
2023-02-27,,,,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,,,,
2023-03-01,,,,,,,,,,,,,,,,,,,
2023-03-02,,,,,,,,,,,,,,,,,,,
2023-03-03,,,,,,,,,,,,,,,,,,,
2023-03-06,,,,,,,,,,,,,,,,,,,
2023-03-07,,,,,,,,,,,,,,,,,,,
2023-03-08,,,,,,,,,,,,,,,,,,,
2023-03-09,,,,,,,,,,,,,,,,,,,
2023-03-10,,,,,,,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,,,,,,,,
2023-03-14,,,,,,,,,,,,,,,,,,,
2023-03-15,,,,,,,,,,,,,,,,,,,
2023-03-16,,,,,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,
2023-03-21,,,,,,,,,,,,,,,,,,,
2023-03-22,,,,,,,,,,,,,,,,,,,
2023-03-23,,,,,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,
2023-03-28,,,,,,,,,,,,,,,,,,,
2023-03-29,,,,,,,,,,,,,,,,,,,
2023-03-30,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,,,,,,,,
2023-04-04,,,,,,,,,,,,,,,,,,,
2023-04-06,,,,,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,
2023-04-11,,,,,,,,,,,,,,,,,,,
2023-04-12,,,,,,,,,,,,,,,,,,,
2023-04-13,,,,,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,,,,,,,,,
2023-04-18,,,,,,,,,,,,,,,,,,,
2023-04-19,,,,,,,,,,,,,,,,,,,
2023-04-20,,,,,,,,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,,,,,,,
2023-04-24,,,,,,,,,,,,,,,,,,,
2023-04-25,,,,,,,,,,,,,,,,,,,
2023-04-26,,,,,,,,,,,,,,,,,,,
2023-04-27,,,,,,,,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,,,,,,,
2023-05-04,,,,,,,,,,,,,,,,,,,
2023-05-05,,,,,,,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,,,,,,,,,,
2023-05-09,,,,,,,,,,,,,,,,,,,
2023-05-10,,,,,,,,,,,,,,,,,,,
2023-05-11,,,,,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,,,,,
2023-05-15,,,,,,,,,,,,,,,,,,,
2023-05-16,,,,,,,,,,,,,,,,,,,
2023-05-17,,,,,,,,,,,,,,,,,,,
2023-05-18,,,,,,,,,,,,,,,,,,,
2023-05-19,,,,,,,,,,,,,,,,,,,
2023-05-22,,,,,,,,,,,,,,,,,,,
2023-05-23,,,,,,,,,,,,,,,,,,,
2023-05-24,,,,,,,,,,,,,,,,,,,
2023-05-25,,,,,,,,,,,,,,,,,,,
2023-05-26,,,,,,,,,,,,,,,,,,,
2023-05-29,,,,,,,,,,,,,,,,,,,
2023-05-30,,,,,,,,,,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,,,,,,,
2023-06-01,,,,,,,,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,,,,,,,,
2023-06-05,,,,,,,,,,,,,,,,,,,
2023-06-06,,,,,,,,,,,,,,,,,,,
2023-06-07,,,,,,,,,,,,,,,,,,,
2023-06-08,,,,,,,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,,,,,,,,,
2023-06-12,,,,,,,,,,,,,,,,,,,
2023-06-13,,,,,,,,,,,,,,,,,,,
2023-06-14,,,,,,,,,,,,,,,,,,,
2023-06-15,,,,,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,,,,,
2023-06-19,,,,,,,,,,,,,,,,,,,
2023-06-20,,,,,,,,,,,,,,,,,,,
2023-06-21,,,,,,,,,,,,,,,,,,,
2023-06-26,,,,,,,,,,,,,,,,,,,
2023-06-27,,,,,,,,,,,,,,,,,,,
2023-06-28,,,,,,,,,,,,,,,,,,,
2023-06-29,,,,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,,,,
2023-07-06,,,,,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,,,,,
2023-07-10,,,,,,,,,,,,,,,,,,,
2023-07-11,,,,,,,,,,,,,,,,,,,
2023-07-12,,,,,,,,,,,,,,,,,,,
2023-07-13,,,,,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,,,,,
2023-07-17,,,,,,,,,,,,,,,,,,,
2023-07-18,,,,,,,,,,,,,,,,,,,
2023-07-19,,,,,,,,,,,,,,,,,,,
2023-07-20,,,,,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,,,,,
2023-07-24,,,,,,,,,,,,,,,,,,,
2023-07-25,,,,,,,,,,,,,,,,,,,
2023-07-26,,,,,,,,,,,,,,,,,,,
2023-07-27,,,,,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,,,,,
2023-07-31,,,,,,,,,,,,,,,,,,,
2023-08-01,,,,,,,,,,,,,,,,,,,
2023-08-02,,,,,,,,,,,,,,,,,,,
2023-08-03,,,,,,,,,,,,,,,,,,,
2023-08-04,,,,,,,,,,,,,,,,,,,
2023-08-07,,,,,,,,,,,,,,,,,,,
2023-08-08,,,,,,,,,,,,,,,,,,,
2023-08-09,,,,,,,,,,,,,,,,,,,
2023-08-10,,,,,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,,,,,
2023-08-14,0.09106678230702515,0.13790112749349523,0.06591500433651344,0.09019947961838681,0.08933217692974849,0.11101474414570685,0.03469210754553339,0.040763226366001735,0.03469210754553339,0.032090199479618386,0.014744145706851692,0.024284475281873375,0.009540329575021683,0.0199479618386817,0.02515177797051171,0.06418039895923677,0.019080659150043366,0.0372940156114484,0.058109280138768434
2023-08-15,0.09991235758106924,0.13672217353198948,0.060473269062226116,0.08676599474145487,0.09027169149868536,0.1200701139351446,0.03856266432953549,0.04820333041191937,0.03155127081507449,0.029798422436459245,0.007011393514460999,0.021910604732690624,0.008764241893076249,0.017528483786152498,0.02366345311130587,0.06573181419807186,0.017528483786152498,0.03593339176161262,0.05959684487291849
2023-08-16,0.10507880910683012,0.14273204903677758,0.06830122591943957,0.08756567425569177,0.08756567425569177,0.10770577933450087,0.03852889667250438,0.04553415061295972,0.03064798598949212,0.03327495621716287,0.00788091068301226,0.021891418563922942,0.01138353765323993,0.020140105078809107,0.023642732049036778,0.05516637478108581,0.025394045534150613,0.03765323992994746,0.049912434325744305
2023-08-17,0.09680284191829484,0.15186500888099466,0.06660746003552398,0.08969804618117229,0.08703374777975133,0.1127886323268206,0.03907637655417407,0.0497335701598579,0.02486678507992895,0.02664298401420959,0.008880994671403197,0.022202486678507993,0.006216696269982238,0.015985790408525755,0.023978685612788632,0.06483126110124333,0.020426287744227355,0.04085257548845471,0.05150976909413854
2023-08-18,0.10595446584938704,0.13134851138353765,0.06567425569176882,0.08581436077057793,0.07793345008756568,0.11120840630472854,0.03502626970227671,0.047285464098073555,0.0297723292469352,0.028021015761821366,0.01926444833625219,0.023642732049036778,0.012259194395796848,0.01576182136602452,0.02714535901926445,0.05604203152364273,0.020140105078809107,0.05166374781085814,0.05604203152364273
2023-08-21,0.10008857395925598,0.1355181576616475,0.06820194862710363,0.0841452612931798,0.07883082373782108,0.10894596988485385,0.03808680248007086,0.045172719220549155,0.0354295837023915,0.02745792736935341,0.015057573073516387,0.02745792736935341,0.008857395925597875,0.015057573073516387,0.030115146147032774,0.054030115146147036,0.021257750221434897,0.05137289636846767,0.05491585473870682
2023-08-22,0.10124333925399645,0.14031971580817051,0.06394316163410302,0.08259325044404973,0.07815275310834814,0.1127886323268206,0.04085257548845471,0.04262877442273535,0.03019538188277087,0.03641207815275311,0.011545293072824156,0.021314387211367674,0.011545293072824156,0.014209591474245116,0.03285968028419183,0.056838365896980464,0.015985790408525755,0.052397868561278864,0.0541740674955595
2023-08-23,0.10388437217705511,0.13459801264679314,0.07407407407407407,0.09123757904245709,0.08130081300813008,0.1093044263775971,0.04155374887082204,0.044263775971093045,0.022583559168925023,0.026196928635953028,0.013550135501355014,0.023486901535682024,0.009033423667570008,0.017163504968383016,0.026196928635953028,0.05510388437217705,0.02077687443541102,0.04607046070460705,0.05962059620596206
2023-08-24,0.11251125112511251,0.1341134113411341,0.06840684068406841,0.08730873087308731,0.0855085508550855,0.10441044104410441,0.0405040504050405,0.0369036903690369,0.020702070207020702,0.036003600360036005,0.010801080108010801,0.025202520252025202,0.0144014401440144,0.021602160216021602,0.023402340234023402,0.052205220522052204,0.019801980198019802,0.04770477047704771,0.05850585058505851
2023-08-25,0.10670194003527336,0.1349206349206349,0.06261022927689594,0.07760141093474426,0.07671957671957672,0.1128747795414462,0.04585537918871252,0.04497354497354497,0.03527336860670194,0.029982363315696647,0.015873015873015872,0.020282186948853614,0.008818342151675485,0.019400352733686066,0.027336860670194002,0.05731922398589065,0.018518518518518517,0.042328042328042326,0.06261022927689594
2023-08-28,0.10822898032200358,0.14669051878354203,0.06976744186046512,0.08676207513416816,0.07960644007155634,0.10107334525939177,0.049194991055456175,0.04203935599284436,0.026833631484794274,0.03041144901610018,0.01073345259391771,0.03130590339892665,0.007155635062611807,0.01967799642218247,0.017889087656529516,0.046511627906976744,0.016100178890876567,0.055456171735241505,0.05456171735241502
2023-08-29,0.10803571428571429,0.14375,0.075,0.075,0.08482142857142858,0.10357142857142858,0.04285714285714286,0.04285714285714286,0.019642857142857142,0.03214285714285714,0.0125,0.026785714285714284,0.011607142857142858,0.022321428571428572,0.025,0.05267857142857143,0.008928571428571428,0.05625,0.05625
2023-08-30,0.10554089709762533,0.14511873350923482,0.07299912049252419,0.08091468777484609,0.07475813544415127,0.10466138962181179,0.03342128408091469,0.04573438874230431,0.020228671943711522,0.03518029903254178,0.009674582233948988,0.025505716798592787,0.0158311345646438,0.02990325417766051,0.023746701846965697,0.058927000879507474,0.01759014951627089,0.056288478452066845,0.04397537379067722
2023-08-31,0.11764705882352941,0.13814616755793227,0.0748663101604278,0.0748663101604278,0.08199643493761141,0.10427807486631016,0.04723707664884135,0.04634581105169341,0.017825311942959002,0.0285204991087344,0.0106951871657754,0.0196078431372549,0.013368983957219251,0.023172905525846704,0.02406417112299465,0.058823529411764705,0.016042780748663103,0.04634581105169341,0.05614973262032086
2023-09-01,0.1054481546572935,0.13884007029876977,0.07293497363796134,0.07205623901581722,0.07381370826010544,0.10369068541300527,0.04130052724077329,0.054481546572934976,0.021968365553602813,0.03251318101933216,0.015817223198594025,0.027240773286467488,0.01054481546572935,0.025483304042179262,0.02899824253075571,0.05536028119507909,0.016695957820738138,0.04745166959578207,0.05536028119507909
2023-09-04,0.11468288444830582,0.14422241529105126,0.07037358818418767,0.0738488271068636,0.07037358818418767,0.10165073848827107,0.04257167680278019,0.04257167680278019,0.013032145960034752,0.03388357949609035,0.019113814074717638,0.026064291920069503,0.014769765421372719,0.02780191138140747,0.030408340573414423,0.051259774109470024,0.022589052997393572,0.05039096437880104,0.05039096437880104
2023-09-05,0.12302284710017575,0.140597539543058,0.06854130052724078,0.07644991212653779,0.07996485061511424,0.09753954305799649,0.0492091388400703,0.043936731107205626,0.020210896309314587,0.029876977152899824,0.020210896309314587,0.020210896309314587,0.009666080843585237,0.022847100175746926,0.020210896309314587,0.05184534270650264,0.020210896309314587,0.05360281195079086,0.05184534270650264
2023-09-06,0.1200701139351446,0.13409290096406662,0.060473269062226116,0.0736196319018405,0.07712532865907099,0.11919368974583698,0.04119193689745837,0.03943908851884312,0.025416301489921123,0.028045574057843997,0.015775635407537247,0.019281332164767746,0.011393514460999123,0.022787028921998246,0.026292725679228746,0.05696757230499562,0.025416301489921123,0.04645048203330412,0.05696757230499562
2023-09-07,0.11857018308631212,0.13339145597210114,0.07061900610287707,0.06713164777680906,0.08108108108108109,0.11682650392327812,0.043591979075850044,0.042720139494333044,0.022667829119442023,0.02964254577157803,0.013077593722755012,0.023539668700959023,0.004359197907585004,0.023539668700959023,0.026155187445510025,0.05579773321708806,0.025283347863993024,0.04882301656495205,0.05318221447253706
2023-09-08,0.11246730601569312,0.14385353095030515,0.06625980819529206,0.06364428945074106,0.08108108108108109,0.11595466434176112,0.045335658238884045,0.047079337401918046,0.02702702702702703,0.03312990409764603,0.01918047079337402,0.02005231037489102,0.006974716652136007,0.016564952048823016,0.023539668700959023,0.05579773321708806,0.024411508282476024,0.043591979075850044,0.05405405405405406
2023-09-11,0.1267241379310345,0.1336206896551724,0.06465517241379311,0.06637931034482758,0.08275862068965517,0.1267241379310345,0.03706896551724138,0.04396551724137931,0.01896551724137931,0.028448275862068967,0.01206896551724138,0.022413793103448276,0.004310344827586207,0.02327586206896552,0.02586206896551724,0.054310344827586204,0.022413793103448276,0.05,0.05603448275862069
2023-09-12,0.11733800350262696,0.138353765323993,0.07267950963222417,0.07267950963222417,0.08669001751313485,0.10245183887915937,0.0446584938704028,0.040280210157618214,0.01926444833625219,0.03064798598949212,0.013134851138353765,0.020140105078809107,0.0043782837127845885,0.021015761821366025,0.03064798598949212,0.046409807355516634,0.023642732049036778,0.05516637478108581,0.06042031523642732
2023-09-13,0.12314410480349346,0.13799126637554585,0.06812227074235808,0.06986899563318777,0.08122270742358079,0.11091703056768559,0.04279475982532751,0.04192139737991266,0.022707423580786028,0.0314410480349345,0.01921397379912664,0.022707423580786028,0.008733624454148471,0.02445414847161572,0.026200873362445413,0.04017467248908297,0.013100436681222707,0.04978165938864629,0.06550218340611354
2023-09-14,0.11996497373029773,0.13922942206654992,0.07005253940455342,0.0647985989492119,0.0840630472854641,0.1042031523642732,0.043782837127845885,0.04553415061295972,0.01926444833625219,0.028021015761821366,0.016637478108581436,0.02276707530647986,0.0043782837127845885,0.020140105078809107,0.03064798598949212,0.05604203152364273,0.017513134851138354,0.05516637478108581,0.05779334500875657
2023-09-15,0.12037833190025796,0.13413585554600171,0.07136715391229578,0.06706792777300086,0.08082545141874463,0.11521926053310404,0.04987102321582115,0.043852106620808254,0.01633705932932072,0.03009458297506449,0.012037833190025795,0.021496130696474634,0.004299226139294927,0.02235597592433362,0.03697334479793637,0.04729148753224419,0.018916595012897677,0.04815133276010318,0.05932932072226999
2023-09-18,0.12706701479547433,0.1392515230635335,0.07484769364664925,0.06179286335944299,0.08529155787641428,0.1114012184508268,0.04351610095735422,0.04003481288076589,0.02175805047867711,0.02959094865100087,0.017406440382941687,0.020017406440382943,0.005221932114882507,0.020017406440382943,0.03307223672758921,0.0391644908616188,0.02175805047867711,0.044386422976501305,0.06440382941688425
2023-09-19,0.12003454231433507,0.14162348877374784,0.0768566493955095,0.06822107081174439,0.08721934369602763,0.10967184801381692,0.046632124352331605,0.037132987910189985,0.023316062176165803,0.027633851468048358,0.018134715025906734,0.023316062176165803,0.004317789291882556,0.01468048359240069,0.03281519861830743,0.04145077720207254,0.019861830742659757,0.044905008635578586,0.06217616580310881
2023-09-20,0.12024221453287197,0.14186851211072665,0.06920415224913495,0.06920415224913495,0.09169550173010381,0.11072664359861592,0.039792387543252594,0.045847750865051905,0.02162629757785467,0.031141868512110725,0.019896193771626297,0.02162629757785467,0.004325259515570935,0.014705882352941176,0.03633217993079585,0.03892733564013841,0.026816608996539794,0.03806228373702422,0.05795847750865052
2023-09-21,0.1117798796216681,0.13327601031814273,0.06620808254514188,0.06964746345657781,0.08426483233018056,0.12037833190025796,0.040412725709372314,0.04729148753224419,0.018916595012897677,0.026655202063628546,0.021496130696474634,0.02063628546861565,0.004299226139294927,0.023215821152192607,0.03697334479793637,0.05588993981083405,0.021496130696474634,0.03869303525365434,0.058469475494411005
2023-09-22,0.1174934725848564,0.14012184508268058,0.06527415143603134,0.06875543951261967,0.08790252393385553,0.1114012184508268,0.04177545691906005,0.04177545691906005,0.0278503046127067,0.025239338555265448,0.020887728459530026,0.018276762402088774,0.004351610095735422,0.02349869451697128,0.034812880765883375,0.05483028720626632,0.018276762402088774,0.044386422976501305,0.05308964316797215
2023-09-25,0.1313742437337943,0.13569576490924806,0.06568712186689715,0.0665514261019879,0.08297320656871218,0.12705272255834055,0.04148660328435609,0.04407951598962835,0.01901469317199654,0.027657735522904063,0.024200518582541054,0.016421780466724288,0.00950734658599827,0.016421780466724288,0.028522039757994815,0.043215211754537596,0.01728608470181504,0.05185825410544512,0.05099394987035436
2023-09-26,0.12318220701454234,0.1300256629597947,0.06501283147989735,0.06928999144568007,0.09067579127459367,0.1300256629597947,0.0427715996578272,0.036783575705731396,0.019674935842600515,0.026518391787852865,0.01710863986313088,0.019674935842600515,0.010265183917878529,0.02480752780153978,0.03165098374679213,0.04362703165098375,0.01710863986313088,0.04362703165098375,0.058169375534645
2023-09-27,0.12190963341858482,0.13384484228473997,0.06308610400682012,0.07757885763000852,0.09036658141517477,0.10230179028132992,0.043478260869565216,0.040068201193520885,0.02216538789428815,0.03495311167945439,0.02216538789428815,0.01875532821824382,0.00937766410912191,0.0247229326513214,0.03580562659846547,0.05115089514066496,0.013640238704177323,0.042625745950554135,0.05200341005967604
2023-09-28,0.13218884120171673,0.13733905579399142,0.061802575107296136,0.061802575107296136,0.08755364806866953,0.10815450643776824,0.045493562231759654,0.04206008583690987,0.026609442060085836,0.030042918454935622,0.01888412017167382,0.019742489270386267,0.0034334763948497852,0.026609442060085836,0.039484978540772535,0.04721030042918455,0.01888412017167382,0.04206008583690987,0.050643776824034335
2023-10-09,0.11561181434599156,0.1248945147679325,0.06919831223628692,0.06666666666666667,0.08016877637130802,0.11983122362869199,0.04135021097046414,0.035443037974683546,0.027848101265822784,0.0270042194092827,0.018565400843881856,0.01181434599156118,0.010126582278481013,0.020253164556962026,0.04388185654008439,0.05232067510548523,0.024472573839662448,0.06160337552742616,0.048945147679324896
2023-10-10,0.11476793248945148,0.1341772151898734,0.059915611814345994,0.0759493670886076,0.07763713080168777,0.1189873417721519,0.04725738396624472,0.04050632911392405,0.017721518987341773,0.030379746835443037,0.017721518987341773,0.016033755274261603,0.009282700421940928,0.0270042194092827,0.039662447257383965,0.053164556962025315,0.021940928270042195,0.04556962025316456,0.05232067510548523
2023-10-11,0.12061591103507271,0.1360136869118905,0.06159110350727117,0.0718562874251497,0.09238665526090675,0.11035072711719418,0.041916167664670656,0.041060735671514116,0.028229255774165955,0.023096663815226688,0.01283147989734816,0.01454234388366125,0.010265183917878529,0.022241231822070145,0.04020530367835757,0.046193327630453376,0.016253207869974338,0.05731394354148845,0.05303678357570573
2023-10-12,0.12331081081081081,0.13091216216216217,0.07432432432432433,0.07010135135135136,0.08530405405405406,0.13006756756756757,0.03547297297297297,0.04307432432432432,0.028716216216216218,0.017736486486486486,0.015202702702702704,0.016047297297297296,0.008445945945945946,0.02364864864864865,0.03462837837837838,0.04983108108108108,0.021114864864864864,0.044763513513513514,0.0472972972972973
2023-10-13,0.11794871794871795,0.13162393162393163,0.05641025641025641,0.07264957264957266,0.09145299145299145,0.11538461538461539,0.046153846153846156,0.042735042735042736,0.020512820512820513,0.02735042735042735,0.017094017094017096,0.017948717948717947,0.008547008547008548,0.022222222222222223,0.035897435897435895,0.044444444444444446,0.021367521367521368,0.062393162393162394,0.04786324786324787
2023-10-16,0.10623946037099494,0.13490725126475547,0.06829679595278246,0.0657672849915683,0.0893760539629005,0.12563237774030353,0.04215851602023609,0.04047217537942664,0.02866779089376054,0.023608768971332208,0.01517706576728499,0.016020236087689713,0.0042158516020236085,0.02782462057335582,0.03288364249578415,0.047217537942664416,0.0193929173693086,0.06239460370994941,0.049747048903878585
2023-10-17,0.12030716723549488,0.1348122866894198,0.06399317406143344,0.0674061433447099,0.08959044368600683,0.1296928327645051,0.03754266211604096,0.04522184300341297,0.02303754266211604,0.02901023890784983,0.021331058020477817,0.011092150170648464,0.004266211604095563,0.027303754266211604,0.031569965870307165,0.04607508532423208,0.01877133105802048,0.051194539249146756,0.04778156996587031
